document_id,publishedAt,source,author,title,description,content
1,2025-04-14T05:41:35Z,Gadgets360.com,"Debby Wu, Josh Wingrove, and Shawn Donnan, Bloomberg","Apple, Nvidia Score Relief From US Tariffs With Exemptions","Trump’s administration exempted smartphones, computers and other electronics from its so-called reciprocal tariffs. The exclusions apply to smartphones, laptop computers, hard drives and computer processors and memory chips as well as flat-screen displays. Th…","President Donald Trump's administration exempted smartphones, computers and other electronics from its so-called reciprocal tariffs, representing a major reprieve for global technology manufacturers … [+7755 chars]"
2,2025-04-14T05:00:01Z,The Irish Times,Pat Leahy,EU and US meet to scope out talks amid growing trade uncertainty,Government anxious for pharmaceuticals to be part of overall trade negotiations,The first face-to-face meeting between the EU and the United States since the White House imposed tariffs on imports to the US will take place on Monday when EU trade commissioner Maro efovi meets co… [+3631 chars]
3,2025-04-14T04:54:37Z,Phandroid - News for Android,Tyler Lee,Trump exempts smartphones and computers from massive China tariffs,"Trump exempts smartphones and computers from steep tariffs, sparing iPhones and laptops from major price hikes.
The post Trump exempts smartphones and computers from massive China tariffs appeared first on Phandroid.","Trump just threw a lifeline to US tech buyers by exempting smartphones and computers from new tariffs on Chinese imports. In a surprise move, the Presidents administration officially announced that T… [+1560 chars]"
4,2025-04-14T04:26:01Z,Neowin,David Uzondu,"Trump warns no one's ""off the hook,"" more tariffs on phones expected in the future","The Trump administration has announced that the tariff exemptions are temporary, with Trump declaring no one's off the hook. Read more...","Credit: The White House
The past few days have thrown the US tech industry into a state of turmoil as markets scrambled to react to the Trump tariffs that impose a 10% levy on almost all imported go… [+2859 chars]"
5,2025-04-14T04:10:50Z,The Times of India,Reuters,TSMC first-quarter profit likely soared but Trump policies cloud outlook,"Taiwan Semiconductor Manufacturing Co is set to report net profit of T$347.8 billion ($10.74 billion) for the three months through March 31, according to a LSEG SmartEstimate drawn from 17 analysts. SmartEstimates give greater weighting to forecasts from anal…","TSMC, the main global producer of advanced chips used in artificial intelligence applications, is set to report a 54% leap in first-quarter profit on Thursday, though is also likely to flag risk from… [+2508 chars]"
6,2025-04-14T03:32:42Z,Yahoo Entertainment,Ben Blanchard and Wen-Yee Lee,TSMC first-quarter profit likely soared but Trump policies cloud outlook,"TSMC, the main global producer of advanced chips used in artificial intelligence applications, is set to report a 54% leap in first-quarter profit on...","By Ben Blanchard and Wen-Yee Lee
TAIPEI (Reuters) - TSMC, the main global producer of advanced chips used in artificial intelligence applications, is set to report a 54% leap in first-quarter profit… [+2388 chars]"
7,2025-04-14T02:01:58Z,BusinessLine,Reuters,Semiconductors from China under US scrutiny as Trump warns of fresh tariffs,"His commerce secretary Howard Lutnick confirmed new duties on semiconductors, pharmaceuticals, and key electronics will roll out within two months.","U.S. President Donald Trump on Sunday bore down on his administration's latest message that the exclusion of smartphones and computers from his reciprocal tariffs on China will be short-lived, pledgi… [+4880 chars]"
8,2025-04-13T22:13:09Z,NBC News,"Nick Duffy, Amina Kilpatrick, Adrianne Morales",Here's the biggest news you missed this weekend,A leading Alzheimer’s research project is in jeopardy if it can’t get funding. And a U.K. city is dealing with a trash pileup — and “cat-size” rats.,"One person is in custody in relation to the fire set at Pennsylvania Gov. Josh Shapiros official residence in Harrisburg early Sunday, officials said.
Cody Balmer will be charged with attempted murd… [+6698 chars]"
9,2025-04-13T22:07:41Z,CNBC,Sean Conlon,Stock market today: Live updates,The moves come after the market saw one of the most volatile trading weeks ever last week.,"Stock futures rose on Sunday as Wall Street looks to gauge President Donald Trump's latest tariff moves.
S&amp;P 500 futures gained 0.5%, while Nasdaq-100 futures moved 0.8% higher. Futures tied to … [+2371 chars]"
10,2025-04-13T21:28:28Z,Japan Today,NA,"Trump plans separate levy on exempted electronics, Lutnick says","U.S. Commerce Secretary Howard Lutnick said on Sunday that smartphones, computers and some other electronics, just exempted from steep tariffs on imports from China, would face separate new duties along with semiconductors within the next two months. Lutnick'…","U.S. Commerce Secretary Howard Lutnick said on Sunday that smartphones, computers and some other electronics, just exempted from steep tariffs on imports from China, would face separate new duties al… [+5291 chars]"
11,2025-04-13T20:52:48Z,Biztoc.com,barrons.com,Trump Says Nobody Is Getting Off the Hook on Tariffs,,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump exempt tech from tariffs? { window.open(this.href, '_blank'); }, 200); return false;""&gt;What spurred Solanas surge over E… [+947 chars]"
12,2025-04-13T20:18:39Z,CryptoSlate,Christina Comben,"Crypto markets make slight rebound as Trump excludes smartphones, laptops, semiconductor machines from reciprocal tariffs","In the latest round of the Trump tariff saga that has economists around the world on the edge of their seats, the U.S. released updated guidelines on Friday exempting specific technology devices, such as laptops, smartphones, and machines needed to make semic…","In the latest round of the Trump tariff saga that has economists around the world on the edge of their seats, the U.S. released updated guidelines on Friday exempting specific technology devices, suc… [+3741 chars]"
13,2025-04-13T19:24:17Z,Biztoc.com,wsj.com,Will the Last Investor to Leave America Please Turn Out the Lights,,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump boost REIT investors? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why do mega trends drive market outlo… [+827 chars]"
14,2025-04-13T18:59:37Z,Mother Jones,Julianne McShane,When It Comes to Tariffs Trump Officials Can’t Get Their Message Straight,"The Trump administration’s only consistency with its tariff policy has been its inconsistency. On April 2—a day President Donald Trump dubbed “Liberation Day”—the president announced a baseline 10 percent tariff, but rates much higher than that on countries a…","President Donald Trump with Apple CEO Tim Cook, left, and Treasury Secretary Steven Mnuchin, far left, in 2019.Jay Janner/TNS/ZUMA
Fight disinformation: Sign up for the free Mother Jones Daily newsl… [+6219 chars]"
15,2025-04-13T18:44:05Z,CNN,Auzinea Bacon,"Trump official says tariff exemptions on tech are temporary. Elizabeth Warren calls trade war ‘red light, green light’ game",Massachusetts Democratic Senator Elizabeth Warren described the confusion about shifting tariff rates and how smartphones and computers were spared from reciprocal tariffs as “chaos and corruption.”,"Commerce Secretary Howard Lutnick said the Trump administrations decision on Friday to exempt electronic devices like smartphones, iPhones and laptops from tariffs was only a temporary reprieve but t… [+5724 chars]"
16,2025-04-13T18:28:24Z,Biztoc.com,barrons.com,Bernie Sanders Exhorts Coachella Music Festival Revelers to Fight,,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Apple revamp its leadership? { window.open(this.href, '_blank'); }, 200); return false;""&gt;What spurred Apple's Vision Pro plan… [+941 chars]"
17,2025-04-13T18:02:44Z,Freerepublic.com,The hill,Lutnick: Smartphone tariff exemptions are temporary,"The Trump administration’s move to exempt smartphones, computers and other electronics from sweeping “reciprocal” tariffs is only a temporary measure, Commerce Secretary Howard Lutnick said Sunday, indicating those devices would be covered by upcoming sector-…","Skip to comments.
Lutnick: Smartphone tariff exemptions are temporaryThe hill ^
 | 13th April 2025
 | Brett Samuels
Posted on 04/13/2025 11:02:44 AM PDT by Cronos
The Trump administrations move … [+3492 chars]"
18,2025-04-13T17:49:52Z,Rolling Stone,Peter Wade,More Chaos: Trump Admin Signals New Tariffs on Electronics from China After Pause,"On Friday the administration announced an exemption for smartphones, computers and other devices, but this weekend White House officials say more tariffs on those goods are coming","The Trump administration had announced tariffs on products from China only to walk back that decision on Friday, issuing an exemption from reciprocal tariffs for smartphones, computers, semiconductor… [+4925 chars]"
19,2025-04-13T17:10:49Z,Raw Story,Agence France-Presse,US says tech tariff exemptions may be short-lived,"Recent exemptions to sweeping US import tariffs may be short-lived, top officials warned Sunday, as China urged the Trump administration to simply abandon its aggressive trade tax policy altogether.The world's two largest economies have been locked in a fast-…","Recent exemptions to sweeping US import tariffs may be short-lived, top officials warned Sunday, as China urged the Trump administration to simply abandon its aggressive trade tax policy altogether.… [+2941 chars]"
20,2025-04-13T16:53:38Z,Newsweek,Mandy Taheri,Trump Trade Adviser Insists New Tariff Exclusion Is 'Not an Exclusion',"Top Trump trade advisor Peter Navarro told NBC there are no exclusions on reciprocal tariffs, contradicting language used by CBP.","President Donald Trump's top trade adviser Peter Navarro said on Sunday that the updated list of products spared from ""reciprocal"" tariffs, including smartphones, computers and electronic chips, is ""… [+7502 chars]"
21,2025-04-13T16:28:00Z,DW (English),Rana Taha,"US electronic tariffs exemptions a 'small step,' China says","Beijing said the step was a ""small"" one in correcting Trump's ""wrong practice"" of imposing tariffs. US Commerce Secretary Lutnick meanwhile said Washington will impose separate tariffs on electronics and semiconductors.","China described the Trump administration's decision to exempt consumer electronics from hefty import tariffs as a ""small step"" in correcting a ""wrong practice.""
A Commerce Ministry spokesperson said… [+3168 chars]"
22,2025-04-13T15:38:36Z,New York Post,Ryan King,"iPhones and other Chinese-made electronics will likely be subject to more Trump tariffs, Commerce Secretary Lutnick says","President Trump's tariff exemption for iPhones and other Chinese-made electronics may only be temporary, Commerce Secretary Howard Lutnick said Sunday — just two days after the White House announced the change.","President Trump’s tariff exemption for iPhones and other Chinese-made electronics may only be temporary, Commerce Secretary Howard Lutnick said Sunday just two days after the White House announced th… [+4804 chars]"
23,2025-04-13T15:14:31Z,Al Jazeera English,Al Jazeera,China says US tariff exemptions ‘small step in correcting wrong practice’,Beijing calls on Washington to 'completely cancel' its reciprocal tariffs amid an escalating trade war.,"China has welcomed the announcement by the United States of a series of exemptions from import levies on consumer electronics, which it said was a small step in correcting President Donald Trumps wro… [+1939 chars]"
24,2025-04-13T14:46:17Z,NDTV News,Agence France-Presse,"""Urge US To Correct Its Mistakes"": China On Reciprocal Tariffs",China on Sunday called on the United States to &quot;completely cancel&quot; its reciprocal tariffs after Washington announced exemptions for consumer electronics and key chipmaking equipment.,"Beijing: China on Sunday called on the United States to ""completely cancel"" its reciprocal tariffs after Washington announced exemptions for consumer electronics and key chipmaking equipment.
""We ur… [+1111 chars]"
25,2025-04-13T14:30:46Z,The Times of India,ET Online,"‘To throw Americans out of work, start a trade war’: China weaponises Ronald Reagan to undercut Trump’s trade war narrative","China has thrown Ronald Reagan’s words back at Donald Trump to slam the former US president’s surging tariffs, escalating a fierce trade war. With levies now soaring as high as 145%, Beijing has warned of global consequences. US tech firms are reeling, Chines…","By turning Ronald Reagan against Donald Trump, China has made its most pointed rebuke yet in a spiralling trade war. On Friday, Chinas Foreign Ministry published a striking video on X (formerly Twitt… [+5099 chars]"
26,2025-04-13T13:38:36Z,Patently Apple,Jack Purcher,Kuo: Apple’s iPhones will still be hit with a 20% Tariff and a report that iPhone production has been halted in China is being disputed,"While it was reported yesterday that Trump’s tariffs on smartphones and computers were being spared, Apple analyst Ming-Chi Kuo wanted to clarify this false reporting.","While it was reported yesterday that Trumps tariffs on smartphones and computers were being spared, Apple analyst Ming-Chi Kuo wanted to clarify this false reporting. Below are a few points that he m… [+1943 chars]"
27,2025-04-13T13:36:56Z,The Times of India,ET Online,"One man’s gut, everyone’s problem: Trump’s instinctive trade war is spooking global markets and allies alike","President Donald Trump's instinct-driven approach to policymaking has led to sweeping tariffs, causing economic upheaval and uncertainty. His unpredictable decisions have impacted global trade, strained international relations, and left American consumers fac…","President Donald Trump recently reversed his stance on tariffs, opting instead for trade negotiations. When asked about his decision-making process, he candidly stated, Instinctively, more than anyth… [+4036 chars]"
28,2025-04-13T13:18:12Z,International Business Times,AFP News,China Calls On US To 'Completely Cancel' Reciprocal Tariffs,"China on Sunday called on the United States to ""completely cancel"" its reciprocal tariffs after Washington announced exemptions for consumer electronics and key chipmaking equipment.","China on Sunday called on the United States to ""completely cancel"" its reciprocal tariffs after Washington announced exemptions for consumer electronics and key chipmaking equipment.
""We urge the US… [+2840 chars]"
29,2025-04-13T13:17:33Z,Digital Journal,AFP,China calls on US to ‘completely cancel’ reciprocal tariffs,"China on Sunday called on the United States to “completely cancel” its reciprocal tariffs after Washington announced exemptions for consumer electronics and key chipmaking equipment. “We urge the US to… take a big step to correct its mistakes, completely canc…","A woman walks past an electronics store at a shopping mall in Beijing on April 13, 2025 - Copyright AFP Pedro PARDO
China on Sunday called on the United States to “completely cancel” its reciprocal … [+2974 chars]"
30,2025-04-13T13:16:57Z,The Times of India,Global Desk,China urges USA to take 'big step' as Beijing sends direct tariffs message to Washington. Will President Donald Trump comply?,U.S. President Donald Trump said on Saturday that he will provide an update on his administration's approach to semiconductor tariffs on Monday,"China on Sunday called on the United States to ""completely cancel"" its reciprocal tariffs after Washington announced exemptions for consumer electronics and key chipmaking equipment.""We urge the US t… [+1426 chars]"
31,2025-04-13T12:34:43Z,The Times of India,AFP,China calls on US to 'completely cancel' reciprocal tariffs,China urged the United States to completely eliminate its reciprocal tariffs following Washington's exemptions on consumer electronics and chipmaking equipment. A commerce ministry spokesperson called for the US to correct its mistakes and return to mutual re…,"China on Sunday called on the United States to ""completely cancel"" its reciprocal tariffs after Washington announced exemptions for consumer electronics and key chipmaking equipment.""We urge the US t… [+1055 chars]"
32,2025-04-13T12:14:26Z,Biztoc.com,bloomberg.com,Apple Readies Pair of Headsets While Still Looking Ahead to Glasses,,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why are Tesla showrooms facing protest backlash? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How will Tesla stopping … [+992 chars]"
33,2025-04-13T09:52:23Z,The Times of India,ET Online,iPhones and laptops exported from India to US now cost 20% less than Chinese shipments,"The US has removed import duties on electronics, giving India and Vietnam a 20% tariff advantage over China. This policy shift is expected to boost Apple's exports from India, where mobile phone exports have already surged. Experts believe this creates a sign…","The export of iPhones, smartphones, tablets, and laptops from India to the US will now be 20 per cent cheaper compared to similar products shipped from China. This follows a recent decision by the US… [+4368 chars]"
34,2025-04-13T09:27:13Z,PEOPLE,Nicholas Rice,'SNL' Mocks Donald Trump' Tariffs Policy in Easter Sketch: Watch,"President Donald Trump’s tariff plans were repeatedly mocked on the April 12 episode of ‘Saturday Night Live.’ During the Cold Open, Trump, played by James Austin Johnson, poked fun at the economy in an Easter sketch that saw him compare himself to Jesus.","<ul><li>President Donald Trump's tariff plan was mocked numerous times on the April 12 episode of Saturday Night Live, with James Austin Johnson impersonating the politician</li><li>SNL's Trump liken… [+4176 chars]"
35,2025-04-13T07:00:20Z,Ambcrypto.com,Ishika Kumari,Bitcoin: Experts split on BTC’s long-term outlook- Here’s why,"BTC struggles with volatility; optimistic on-chain metrics hint at potential breakout above $94,500.","<ul><li>Bitcoin battles volatility amid Trump tariffs, with prices dipping below $90K.</li><li>The market is divided as CZ predicts $1 million for Bitcoin while Schiff foresees a global sell-off.</li… [+2865 chars]"
36,2025-04-13T05:39:00Z,Hurriyet Daily News,hurriyetdailynews.com,US exempts tech imports in tariff step back,The Trump administration has exempted a raft of consumer electronics from its punishing import tariffs — offering relief to U.S. tech firms and partially dialling down a trade war with China.,"WASHINGTON
The Trump administration has exempted a raft of consumer electronics from its punishing import tariffs offering relief to U.S. tech firms and partially dialling down a trade war with Chin… [+3919 chars]"
37,2025-04-13T04:42:58Z,Firstpost,Fp Tech Desk,Apple’s $22 bn pivot to India: iPhone manufacturing surges as trade winds shift from China,"While electronics, including smartphones, were exempted from those tariffs in a recent announcement, the broader levies on China — now totalling 145 per cent — remain intact. For Apple, this makes India a relatively safe harbour","Apple has sharply accelerated its iPhone production in India, assembling devices worth an estimated $22 billion in the 12 months ending March 2025 a 60 per cent jump over the previous year. The ramp-… [+2728 chars]"
38,2025-04-13T03:40:35Z,BusinessLine,S Ronendra Singh,"Trump tariffs: Exemption of smartphones, computers from reciprocal tariffs gives respite to manufacturers in India","According to the electronics industry in India, it is a big respite for the smartphone makers and they expected there would be no extraordinary disruption","The latest announcement by the US President Donald Trump, exempting reciprocal tariffs on smartphones, laptop computers, hard drives, computer processors and memory chips, has given respite to electr… [+3410 chars]"
39,2025-04-13T03:02:33Z,Digital Journal,AFP,US exempts tech imports in tariff step back,The Trump administration has exempted a raft of consumer electronics from its punishing import tariffs — offering relief to US tech firms and partially dialling down a trade war with China. A notice late Friday by the US Customs and Border Protection office s…,"US President Donald Trump raises a fist as he steps off Air Force One at Palm Beach International Airport in Florida on April 11, 2025, while heading to spend the weekend at his Mar-a-Lago resort - C… [+4415 chars]"
40,2025-04-13T03:00:24Z,The Punch,Agency Report,US exempts tech imports in tariff step back,"The Trump administration has exempted a raft of consumer electronics from its punishing import tariffs, offering relief to US tech firms and partially dialling down a trade war with China. A notice late Friday by the US Customs and Border Protection office sa…","The Trump administration has exempted a raft of consumer electronics from its punishing import tariffs, offering relief to US tech firms and partially dialling down a trade war with China.
A notice … [+4197 chars]"
41,2025-04-13T00:29:52Z,Android Headlines,Jean Leon,Smartphones & computers officially exempt from Trump's tariffs,The US government has confirmed that tech segments such as smartphones and computers are exempt from Trump's tariffs.,"Summary: Tech fans, you can breathe easy. Donald Trumps administration has announced an exemption from tariffs on smartphones and computers, as well as other electronic products. The exemption also i… [+3544 chars]"
42,2025-04-12T20:05:57Z,New Zealand Herald,NA,"Trump exempts smartphone, laptops, chips in China tariff backdown","Good news for iPhone maker Apple, other who make products in China for US market.","The step-down will generally narrow the impact of the staggering 145% tariffs Trump has imposed this year on Chinese goods entering the United States.
US Customs data suggests the exempted items acc… [+3340 chars]"
43,2025-04-12T19:00:14Z,TheJournal.ie,"Dr Kevin Byrne, Dr Chao Ji-Hyland & Dr Nikolaos Valantasis Kanellos",Analysis: What are the potential impacts of Trump's tariffs on the Irish supply chain?,Members of the TU Dublin Research Centre for Sustainable Technology look at the potential fallout from Trump’s unpredictable economic moves.,"US PRESIDENT DONALD Trump launched a global tariff increase on 5 April, targeting over 57 different countries that are active exporters of goods into the United States.
The move represents a signifi… [+9231 chars]"
44,2025-04-12T18:53:58Z,The Times of India,Global Desk,"Boost for Apple and Nvidia as Trump exempts smartphones, computers, and electronic items from tariffs; will stocks rise following the move?","Apple and Nvidia get tariff relief as President Donald Trump exempts smartphones, computers, and key electronics from steep China tariffs, offering a major boost to tech giants and consumers alike. With tariffs on Chinese goods now at 145%, this exemption hel…","Boost for Apple and Nvidia as Trump exempts smartphones, computers, and electronics from China tariffs: In a major move that could shake up the tech world and stock markets, President Donald Trumps a… [+4353 chars]"
45,2025-04-12T18:30:10Z,TechRadar,David Nield,"Are iPhone prices safe? Phones, computers, and chips are now exempt from US tariffs",A range of electronics goods are now exempt from tariffs – including those manufactured in China.,"<ul><li>Certain electronics gadgets are now exempt from certain tariffs</li><li>Phones, laptops, and processors all get a reprieve – which includes China</li><li>It's still not clear what will happen… [+2628 chars]"
46,2025-04-12T17:42:20Z,Newsweek,Jason Lemon,Donald Trump's Tariff Exemptions Raise Eyebrows—'Almost Getting Comical',"""If tariffs are so great, why so many exemptions?"" a former Republican congressman asked on social media.","President Donald Trump's decision to exempt many electronics from newly implemented tariffs has sparked surprise from critics, with some citing recent remarks by Commerce Secretary Howard Lutnick to … [+5776 chars]"
47,2025-04-12T16:59:52Z,Tom's Hardware UK,Ash Hill,"Trump enacts tariff exemptions for computers, smartphones, and more","The tech industry is delighted that computers, smartphones, semiconductor chips, and more are officially exempt from tariffs on foreign imports.","Amidst the flurry of tariffs imposed by the Trump administration over the last few weeks, we finally have some exemptions that should significantly impact the tech sector. While the initial reciproca… [+2163 chars]"
48,2025-04-12T16:44:02Z,MacRumors,Juli Clover,"iPhones, Macs, and Other Apple Devices Exempted From Trump Tariffs","Apple and other electronics manufacturers have received a break from Trump's reciprocal tariffs, with the U.S. Customs and Border Protection agency sharing a long list of products excluded from the levies last night.





iPhones, Macs, iPads, Apple Watch, an…","Apple and other electronics manufacturers have received a break from Trump's reciprocal tariffs, with the U.S. Customs and Border Protection agency sharing a long list of products excluded from the l… [+1570 chars]"
49,2025-04-12T16:27:14Z,International Business Times,Beiyi Seow and Michael Mathes,US Exempts Tech Imports In Tariff Step Back,The Trump administration has announced a series of major exemptions to its punishing global tariffs -- an apparent step back in an escalating trade war with China.,"The Trump administration has announced a series of major exemptions to its punishing global tariffs -- an apparent step back in an escalating trade war with China.
A notice late Friday by the US Cus… [+3476 chars]"
50,2025-04-12T16:00:19Z,Cult of Mac,Lewis Wallace,The great iOS 19 squircles controversy [The CultCast],"This week on Cult of Mac's podcast: Spat over a supposed iOS 19 leak that shows rounder ""squircles"" for app icons is a laugh riot.
(via Cult of Mac - Apple news, rumors, reviews and how-tos)",This week on Cult of Macs podcast: The latest video from Front Page Tech leaker in chief Jon Prosser gives us a closer look at what iOS 19 might look like. Its glossy UI elements and rounder squircle… [+1181 chars]
51,2025-04-12T15:56:01Z,Neowin,Hamid Ganji,"Tech gets a pass; Smartphones, computers, and chips exempted from Trump tariffs","Donald Trump has exempted some widely used electronic devices from paying hefty tariffs, temporarily relieving American consumers. Read more...","Image via White House
The US Customs and Border Protection has issued a new guidance that relieves consumers and companies alike and it exempts a variety of tech products from paying hefty tariffs. … [+1866 chars]"
52,2025-04-12T15:05:35Z,Wccftech,Muhammad Zuhair,Trump Tariffs Would “Worsen” The Expansion of Chipmakers Into The US; Producing In Taiwan Still a Better Option Despite The Recent Tariffs,"While Trump's new trade policy will have its benefits, it won't prompt chipmakers to expand into the US since equipment procurement costs are said to grow tremendously. Trump's Newest Tariffs Will Make It Difficult For Chipmakers To See The US As An Alternate…","While Trump's new trade policy will have its benefits, it won't prompt chipmakers to expand into the US since equipment procurement costs are said to grow tremendously.
Chip manufacturing in the US … [+1954 chars]"
53,2025-04-12T15:01:52Z,Cult of Mac,Ed Hardy,"Whew! Trump tariffs won’t hit iPhone, Mac and other electronics.","President Trump removed the hefty tariffs he’d imposed on phone, computers and many other electronics.
(via Cult of Mac - Apple news, rumors, reviews and how-tos)","President Donald Trump removed the hefty tariffs hed imposed on phone, computers and many other electronics being imported into the United States. The change, which came late Friday, should prevent p… [+444 chars]"
